para_id,essay_id,para_text,adu_spans,ac_types,ac_rel_pairs,ac_rel_types,dataset_type,para_types
72,386,"<para-body> <ac> As a Director for Collections now for Kennedy Space Center Federal Credit Union , which is over 500 Million in asset size I try as I have for prior union to file suit closest to the Consumers current address . </ac> <ac> One method is to assign over to an attorney within the current residence - venue of the Consumer . </ac> <ac> In legal terms we attempt to get service when filing a suit out of state , </ac> <ac> its method is called obtaining if possible a Alien Juddgement outside from the County and or State the contract / note was originally signed . </ac> <ac> There are states in the Union that do note accept foreighn judgments . </ac> <ac> So recording a judgement obtained for example in Floirda and rerecorded in another State may not be possible . </ac> </para-body>","[(1, 42), (43, 63), (64, 81), (82, 108), (109, 123), (124, 144)]","['testimony', 'fact', 'value', 'fact', 'fact', 'fact']","[(5, 4)]",['reason'],train,body
73,388,<para-body> <ac> Very confusing if I can pay my student loans directly to DOE or to one of the many private companies who have owned my loan over the years . </ac> <ac> They continue to try to entice me to restructure the student loan debt - very misleading - without disclosure of their fees </ac> <ac> at this point I cannot even trace a $ 30000 fee that was double billed to my total . </ac> <ac> It is a web of confusion that I cannot escape . </ac> <ac> I intend to take my student loans to my death </ac> <ac> as I have no other way of making the monthly payments . </ac> </para-body>,"[(1, 31), (32, 55), (56, 76), (77, 89), (90, 101), (102, 115)]","['value', 'testimony', 'testimony', 'value', 'value', 'testimony']","[(2, 3), (3, 1), (4, 5), (2, 1)]","['reason', 'reason', 'reason', 'reason']",train,body
74,390,"<para-body> <ac> Most of the consumer debt I see if coming from debt buyers and the consumer doesn ' t recognize the name or the amount . </ac> <ac> Many of these are beyond the statute of limitations to file suit </ac> <ac> but suit is filed anyway . </ac> <ac> Many consumers don ' t know to file an answer is court </ac> <ac> and a default judgment is entered . </ac> <ac> The information you suggest would help a lot in letting consumers know what this debt is . </ac> <ac> I would include the trail of ownership of the debt </ac> <ac> as there could be intermediary owners between the original creditor and final collector . </ac> <ac> Debts are sold and resold . </ac> <ac> It would also help to have some documentation of the specific debt having been sold </ac> <ac> so the consumer can verify the current ownership of the debt . </ac> <ac> Currently , all they get in response to a validation request is "" we checked and you owe it "" . Our firm asks for specific documents related to the claimed debt and the response we get is "" the courts say we don ' t have to provide any documents . . . go fish "" . </ac> </para-body>","[(1, 27), (28, 41), (42, 49), (50, 63), (64, 72), (73, 91), (92, 103), (104, 119), (120, 127), (128, 144), (145, 158), (159, 218)]","['testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'value', 'value', 'value', 'fact', 'value', 'value', 'testimony']","[(4, 3), (6, 7), (7, 8), (9, 10), (9, 11), (6, 8)]","['reason', 'reason', 'reason', 'reason', 'reason', 'reason']",train,body
75,391,"<para-body> <ac> The price of paper ( bad debt ) varies depending on the collectability of the debt based on info known about the debtor and also varies based on the amount of documentation purchased from the original creditor . </ac> <ac> Most debt buyers only pay for a couple of recent credit card statements . </ac> <ac> They may provide a "" bill of sale "" </ac> <ac> but these never identify a specific account being sold and reference a master purchase contract which is never provided . </ac> </para-body>","[(1, 40), (41, 56), (57, 67), (68, 89)]","['fact', 'fact', 'fact', 'fact']",[],[],train,body
76,392,<para-body> <ac> The majority of the collection disputes I help my clients with are never validated with documentation . </ac> <ac> The CRA simply sends a letter stating that the debt was verified </ac> <ac> although the dispute letter specifically asked for documentation . </ac> </para-body>,"[(1, 19), (20, 33), (34, 44)]","['testimony', 'fact', 'fact']",[],[],train,body
77,394,<para-body> <ac> The majority of the clients I work with try to settle their accounts . </ac> <ac> The main issue is that most of the collection companies will not provide the client with a letter of agreement until after the payment is made . </ac> <ac> They also will often wait weeks for a receipt . </ac> <ac> I have even had clients tell me that the company required a $ 10 . 00 payment for the receipt . </ac> </para-body>,"[(1, 16), (17, 45), (46, 57), (58, 80)]","['testimony', 'fact', 'fact', 'testimony']","[(2, 3)]",['evidence'],train,body
78,395,<para-body> <ac> Unscrupulous debt collectors use this tactic trying to force people into agreeing to repay a debt . </ac> <ac> The threat of debt collection calls at work is a powerful incentive to repay a debt . </ac> </para-body>,"[(1, 19), (20, 38)]","['value', 'value']","[(0, 1)]",['reason'],train,body
79,396,"<para-body> <ac> The Pro Publica piece on one "" installment "" loan lender has plenty of examples of harassment that goes over the line that is not covered by this language </ac> <ac> Truly dreadful conduct . </ac> <ac> _ _ URL _ _ </ac> </para-body>","[(1, 31), (32, 37), (38, 44)]","['fact', 'value', 'reference']",[],[],train,body
80,397,"<para-body> <ac> As a creditor , I can agree with this notification on medical services </ac> <ac> since most people receive bills from companies they never heard of . </ac> <ac> When it comes to auto loans , and other monthly installment loans , I am sure the consumers are aware of the debt and who it is payable to , unless sold . </ac> <ac> This could be a huge regulatory burden on creditors that don ' t sell loans and follow current collection laws . </ac> <ac> After all , do very many people pay monthly payment to the same people for several months and them forget they owe the debt . </ac> <ac> All laws should not apply to all creditors . </ac> </para-body>","[(1, 15), (16, 29), (30, 64), (65, 87), (88, 114), (115, 125)]","['value', 'fact', 'value', 'value', 'value', 'policy']","[(0, 1), (3, 4)]","['reason', 'reason']",train,body
81,402,"<para-body> <ac> I was never informed by Bank of America that they sold my credit card and closed the card . </ac> <ac> When I realized it , I paid it off immediately . </ac> <ac> During that quarter , after long illnesses , my Father and Mother both passed ( within 31 days of each other ) </ac> <ac> and frankly , credit card payments were not in the forefront of my thinking . </ac> <ac> ALSO , just because a bank or credit card company has been exempted from Usury laws does not mean they do not commit the violation ! </ac> <ac> THAT needs to be stopped ! </ac> </para-body>","[(1, 21), (22, 34), (35, 58), (59, 75), (76, 103), (104, 111)]","['testimony', 'testimony', 'testimony', 'value', 'value', 'policy']",[],[],train,body
82,403,"<para-body> <ac> Depends on the type of Bankruptcy . </ac> <ac> If it is a CH 13 many times the creditors receive more money than if they choose to forgive a portion of the debt and settle direct with the consumer . </ac> <ac> This is because of the strict "" means test "" for CH 7 . </ac> </para-body>","[(1, 9), (10, 42), (43, 58)]","['value', 'fact', 'value']","[(1, 2)]",['reason'],train,body
83,404,"<para-body> <ac> I am concerned about the perception consumers have concerning older debts . </ac> <ac> With the knowledge that this legislation is both to improve debt collection practices ( helping the credit industry ) and to educate and protect consumers ( to increase confidence and enforce their rights ) , this is especially relevent . </ac> <ac> Many consumers appear to be under the impression , if they haven ' t managed to pay off the debt within the first initial years , they should * ignore * it until it falls off their credit report . </ac> <ac> Reviving the debt is the issue . </ac> <ac> Yet these consumers are not concerned about paying the debt off in full </ac> <ac> they might be in much better financial standing now . </ac> <ac> They ' re concerned about how paying a debt affects their credit score . </ac> <ac> I believe this should be concerning . </ac> <ac> If a debt is outstanding , and repying part ( or all ) of this debt actually would * worsen * a consumer ' s credit , it seems counter - intuitive . </ac> <ac> It works both against the interests of creditors and debt collectors - and the interest of consumers who owe money on a debt . </ac> <ac> I don ' t know of a viable solution , </ac> <ac> but I ' m certain this is a concern which should be addressed . </ac> </para-body>","[(1, 14), (15, 56), (57, 98), (99, 107), (108, 122), (123, 134), (135, 150), (151, 159), (160, 194), (195, 220), (221, 232), (233, 248)]","['value', 'value', 'fact', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value']","[(0, 1), (7, 8), (7, 9)]","['reason', 'reason', 'reason']",train,body
84,406,"<para-body> <ac> If a consumer is notified that their debt has been sold , there should be a way to contact the original creditor to verify . </ac> <ac> e . there should be a paper trail </ac> <ac> I see an opportunity for scam artists to claim that ( as they are now ) the consumer owes money to them and to pay off their debt immediately to the scam artist . </ac> <ac> With a clear paper / electronic trail , the path a debt takes from creditor to collector to collector can be verified and authenticated for the consumer ' s peace of mind , </ac> <ac> and so the right party gets paid . </ac> </para-body>","[(1, 27), (28, 37), (38, 73), (74, 108), (109, 118)]","['policy', 'policy', 'value', 'value', 'value']","[(0, 2), (1, 2), (1, 4), (4, 3), (1, 3)]","['reason', 'reason', 'reason', 'reason', 'reason']",train,body
85,407,"<para-body> <ac> If a consumer sends a post dated check ( s ) and it bounces then it may not fall under the bad check enforcement . </ac> <ac> Also , consumers use ACH capability to repay a debt , </ac> <ac> so if the amount is not available , then this may also not fall under bad check enforcement . </ac> <ac> My experience is more consumers use ACH rather than personal check distribution . </ac> <ac> there are numerous reasons why checks bounce </ac> <ac> so I suggest a look see as to determining the reason or cause why the check bounced . </ac> </para-body>","[(1, 27), (28, 40), (41, 61), (62, 76), (77, 85), (86, 105)]","['value', 'fact', 'value', 'testimony', 'value', 'policy']","[(2, 1), (5, 4)]","['reason', 'reason']",train,body
86,409,"<para-body> <ac> while this isn ' t the best forum for me to go into my company ' s entire collection process , we work a debt for at least 120 days with letters , live agent calls , robo calls , emails , mailed invoices , and by suspending subscription service ( where allowed ) as part of our collection campaign . </ac> <ac> Even then , we only go to litigation after the debtor has been unresponsive to our attempts to contact them . </ac> <ac> I ' ve found that if a debtor talks to their creditors , many times creditors will take their situation into account . </ac> <ac> I ' ve offered lengthy repayment plans , reduced or waived interest or late fees , or partial settlement for those explain their hardship . </ac> <ac> But if a debtor is uncooperative or doesn ' t respond to our attempts to work out a balance , what other alternatives do creditors have ? </ac> </para-body>","[(1, 63), (64, 86), (87, 111), (112, 138), (139, 167)]","['testimony', 'testimony', 'testimony', 'testimony', 'value']",[],[],train,body
87,410,"<para-body> <ac> The CFPB should require debt sellers to contact the debtor and inform them the debt has been sold . </ac> <ac> Additionally , ALL pertinent information must be given to the debtor to eliminate any confusion . </ac> <ac> Furthermore , the seller of the debt must be required and enforced to annotate the debtors credit report with the sale to help eliminate confusion and in a way to not increase the bad debt . </ac> <ac> Essentially , debts that are sold sometimes appear as two seperate debts on a consumers report which increases the penalty of having bad debt . </ac> <ac> A consumer should not be penalized twice for 1 debt . </ac> </para-body>","[(1, 21), (22, 39), (40, 77), (78, 104), (105, 117)]","['policy', 'policy', 'policy', 'fact', 'policy']","[(0, 3), (1, 3), (2, 3)]","['reason', 'reason', 'reason']",train,body
88,411,"<para-body> <ac> The CFPB should require debt sellers to contact the debtor and inform them the debt has been sold . </ac> <ac> Additionally , ALL pertinent information must be given to the debtor to eliminate any confusion . </ac> <ac> Furthermore , the seller of the debt must be required and enforced to annotate the debtors credit report with the sale to help eliminate confusion and in a way to not increase the bad debt . </ac> <ac> Essentially , debts that are sold sometimes appear as two seperate debts on a consumers report which increases the penalty of having bad debt . </ac> <ac> A consumer should not be penalized twice for 1 debt . </ac> </para-body>","[(1, 21), (22, 39), (40, 77), (78, 104), (105, 117)]","['policy', 'policy', 'policy', 'fact', 'policy']",[],[],train,body
89,413,"<para-body> <ac> The idea is sound in principle , </ac> <ac> but as any technology geared towards convienance , there are risks against privacy encouraging identity theft . </ac> <ac> Having creditors , collectors , and consumers come together "" on the same page "" regarding debt would be fantastic for everyone involved . </ac> <ac> But any technology which accomplishes this needs to be very secure with very strict authentication requirements to ensure * only * the relevant parties can view information concerning the debt . </ac> <ac> Otherwise , not only thieves would have access to this information but also non - criminal third parties , who may never have learned of such information due to the protection of consumer privacy laws . </ac> <ac> Knowledge of the debt and money owed would need to have the same level of security afforded to consumer reports and information within a consumer report ( as defined in the FCRA ) . </ac> </para-body>","[(1, 9), (10, 28), (29, 54), (55, 87), (88, 125), (126, 161)]","['value', 'value', 'value', 'policy', 'value', 'policy']","[(3, 4)]",['reason'],train,body
90,414,"<para-body> <ac> security would be paramound . </ac> <ac> Since the weaknesses in current authentication practices financial institutions / others covered by FACTA and the FCRA are not within the scope of this legislation , </ac> <ac> it shouldn ' t be difficult to impose those same security standards on any centralized debt collection database . </ac> </para-body>","[(1, 7), (8, 35), (36, 56)]","['value', 'value', 'value']","[(2, 1)]",['reason'],train,body
91,416,"<para-body> <ac> I strongly endore drose977 ' s response . </ac> <ac> Currently , debt collection agencies can sell debt without proper validation . Or they can sell the debt if a consumer disputes the debt and the agency can ' t product the proper validation . These things should not be allowed and are very detrimental to the consumer . </ac> <ac> Consumers should be protected above collectors and other agencies </ac> <ac> as they , typically , have far less resources to fight inaccurate information . </ac> <ac> Additionally , the inaccurate information adversely effects consumers more than any other group in these situations . </ac> <ac> Collectors should not be allowed to report a debt as 30 days late if the debt isn ' t 30 days late . </ac> <ac> The law should include stiff enforcable penalities to deter collectors from pre - dating debt . </ac> <ac> These rules should apply for any debt reported late at any time , not just the first 30 days . </ac> </para-body>","[(1, 10), (11, 61), (62, 72), (73, 88), (89, 107), (108, 132), (133, 150), (151, 172)]","['value', 'policy', 'policy', 'value', 'value', 'policy', 'policy', 'policy']","[(0, 1), (0, 2), (2, 3), (2, 4), (0, 3), (0, 4)]","['reason', 'reason', 'reason', 'reason', 'reason', 'reason']",train,body
92,417,"<para-body> <ac> The most common consumer contact my firm receives as a dispute is the comment by the consumer on a call with the agency that "" it ' s not my debt "" . </ac> <ac> While that may be a true statement in some cases , some proof from the consumer should be required as to why the debt isn ' t theirs . </ac> <ac> For our customers , proof of residence at a different address from where our service was provided is usually sufficient for us to remove that customer from the debt . </ac> <ac> The consumers must understand that they have to work with the creditor or agency to correct whatever info lead to an "" incorrect link "" ( common name , bad SSN , fraud . . . ) . </ac> <ac> The 3 items listed in CFPB summary is usually adequate . </ac> </para-body>","[(1, 35), (36, 66), (67, 98), (99, 138), (139, 151)]","['testimony', 'policy', 'value', 'policy', 'value']",[],[],train,body
93,419,"<para-body> <ac> Consumers should not be allowed to dispute a debt using identity theft as a reason without proof as well . </ac> <ac> Otherwise some consumers will "" game "" the system and make false disputes . </ac> </para-body>","[(1, 22), (23, 38)]","['policy', 'value']","[(0, 1)]",['reason'],train,body
94,420,"<para-body> <ac> I currently have an alias on my Credit report that I have NEVER gone by . I ' ve disputed this serveral times and I can ' t get this alias and the related debt off my report . </ac> <ac> As such I want federal laws that REQUIRE an agency to produce some paperwork , legal document that proves a consumer used that alias on a credit application / paperwork . </ac> <ac> When disputed with a CRA they should be requesting this information from the agencies as well . </ac> <ac> CRA ' s should be the neutral parties and be the enforcing agencies on both sides . </ac> <ac> CRA ' s should be mandated to report accurate information and be responsible to gather the accurate information . </ac> <ac> currently they are warehouses of bad information that err on the side of collectors . </ac> <ac> Consumers do not have a reliable agency fighting for their rights . </ac> <ac> without enforcement Federal laws equate to a bunch of useless words on a paper . </ac> </para-body>","[(1, 41), (42, 74), (75, 93), (94, 112), (113, 133), (134, 150), (151, 164), (165, 181)]","['testimony', 'policy', 'policy', 'policy', 'policy', 'value', 'value', 'value']","[(1, 0), (2, 3), (3, 6), (4, 3), (4, 5), (4, 6), (2, 6)]","['reason', 'reason', 'reason', 'reason', 'reason', 'reason', 'reason']",train,body
95,422,<para-body> <ac> The CFPB should ban workplace calls completely . </ac> <ac> Consumers provided a home phone number when they take on the debt and that should be the number they call to collect it . </ac> <ac> Communicating by registered / certified letter should also be the alternate method not workplace calls . </ac> <ac> Second Massachusetts limiting the total number of calls is a fabulous idea . </ac> <ac> We don ' t throw debtors in prison today </ac> <ac> yet the ridiculous amount of abuse and scorn they must endure is totally unacceptable . </ac> <ac> CFPB desperately needs to clean up the debt collection industry . </ac> </para-body>,"[(1, 10), (11, 36), (37, 54), (55, 69), (70, 80), (81, 97), (98, 110)]","['policy', 'policy', 'policy', 'value', 'fact', 'value', 'policy']","[(0, 1), (3, 5), (3, 6), (6, 5)]","['reason', 'reason', 'reason', 'reason']",train,body
96,423,"<para-body> <ac> More information to the consumer with the initial notification would be more confusing and intimidating than it already is for them . </ac> <ac> Simplifying the initial notification while including information about how to contact someone if you do not recognized this obligation is the way to go . </ac> <ac> Then the CFPB can design and require everyone to send a separate Summary of Consumer Rights to a consumer . </ac> <ac> It could also be available in the exact same form on the CFPB website and on informed professionals websites within the industry . </ac> <ac> I would maintain the consumer ' s right to ask for a cease communication , </ac> <ac> but I would suggest that the CFPB would serve everyone better by including that the CFPB would suggest that the consumer may be better served by keeping this communication available except as a last resort . </ac> <ac> This solution also bears the added advantage of making sure the public is aware of the assistance available through the CFPB . </ac> </para-body>","[(1, 24), (25, 51), (52, 73), (74, 98), (99, 115), (116, 153), (154, 177)]","['value', 'value', 'value', 'value', 'value', 'value', 'value']","[(1, 0), (1, 2), (1, 3), (5, 6)]","['reason', 'reason', 'reason', 'reason']",train,body
97,424,"<para-body> <ac> my in - laws had the same issue with BoA . </ac> <ac> They paid their mortgate EARLY every month and still were reported as late every month . </ac> <ac> This is tragic </ac> <ac> and ruined their credit . </ac> <ac> When these things happen it takes years for the credit to br repaired even though a collector reported the information falsely , incurracately , and repeatedly . </ac> <ac> BoA should be penalized HEAVILY for these infractions </ac> <ac> otherwise they just ignore consumers . </ac> </para-body>","[(1, 13), (14, 31), (32, 36), (37, 43), (44, 72), (73, 82), (83, 90)]","['testimony', 'testimony', 'value', 'value', 'fact', 'policy', 'fact']","[(2, 3), (5, 6)]","['reason', 'reason']",train,body
98,426,"<para-body> <ac> As someone who regularly reviews credit reports , </ac> <ac> I am appalled by a practice I see regularly . </ac> <ac> Debt Collectors frequently resubmit the report of a debt as delinquent every month . </ac> <ac> This will have a highly adverse impact on the consumer ' s credit scores . </ac> </para-body>","[(1, 10), (11, 22), (23, 38), (39, 55)]","['testimony', 'value', 'fact', 'value']",[],[],train,body
99,427,<para-body> <ac> If federal rules can be ignored by local / municipal / state laws then the federal laws are irrelevant . </ac> <ac> Consumer credit is recognized in all 50 states and internationally . </ac> <ac> As such these laws should be enforced by each state and lower courts and states and such should not be able to make laws that ignore of superseed federal law . </ac> </para-body>,"[(1, 22), (23, 35), (36, 68)]","['value', 'fact', 'policy']",[],[],train,body
100,428,<para-body> <ac> Calling someone ' s work is clearly and without dispute intended to embarrass and annoy . </ac> <ac> It is never acceptable . </ac> </para-body>,"[(1, 18), (19, 25)]","['value', 'value']","[(1, 0)]",['reason'],train,body
101,430,"<para-body> <ac> Unless the consumer chooses to communicate by phone , all correspondences from collectors should go through mail . </ac> <ac> This allows the consumer to take time in considering what the collector is requesting . </ac> <ac> It also avoids confusion for both parties . </ac> <ac> The only reason this isn ' t the standard approach is because it limits how annoying and embarrassing collectors can be - - plain and simple . </ac> </para-body>","[(1, 20), (21, 37), (38, 47), (48, 76)]","['policy', 'fact', 'value', 'value']","[(0, 1), (0, 2)]","['reason', 'reason']",train,body
102,433,"<para-body> <ac> Once a debt has reached the end of its statue of limitations is should be removed from the consumer credit report . </ac> <ac> However , collectors use the law to refresh old debts so they effectively never leave a report . </ac> <ac> If a collector can ' t sue to retrieve the debt it has no business on a consumer report . </ac> </para-body>","[(1, 24), (25, 44), (45, 66)]","['policy', 'fact', 'value']",[],[],train,body
103,435,"<para-body> <ac> Legally , I don ' t believe that CFPB authority should stretch into this area </ac> <ac> since the federal laws do not include such a limitation . </ac> <ac> Notification to a consumer that a debt is beyond statute is problematic </ac> <ac> since that date is not permanent . </ac> <ac> Partial payment on an account restarts the statute of limitations . </ac> <ac> I don ' t believe that a rule issued by the CFPB can help here . </ac> <ac> Education of consumers is the only pro - active method that I see as available here . </ac> <ac> However , this education should include notification to the legal profession that the CFPB will bring violations in this area to the attention of the Attorney General in their state . </ac> </para-body>","[(1, 17), (18, 30), (31, 44), (45, 53), (54, 66), (67, 84), (85, 103), (104, 136)]","['policy', 'fact', 'value', 'fact', 'fact', 'value', 'value', 'policy']","[(0, 1), (2, 3)]","['reason', 'reason']",train,body
104,436,"<para-body> <ac> Current debt substantiation requirements all suffer from the same significant shortcoming in that they fail to address the often symbiotic relationship between first - line creditors , collectors , reporting agencies , consumer data clearinghouses , buyers of bad debt , and others industry players . </ac> <ac> Each has a vested profit motive in the "" validation "" of debt . </ac> <ac> Without appropriate disincentive - - i . e . , enforcement of rules and stiff penalties for non - compliance - - corners are cut and quid pro quo - type behaviors begin to surface . </ac> <ac> Consumers hold few cards and have to play against a stacked deck . </ac> <ac> The validation process should involve more than merely inquiring with the creditor about the validity of the debt or the identity of the debtor , and failure to observe all the necessary steps - - in the sunshine , no less - - should have severe consequences . </ac> <ac> The best deterrent would be putting the power back in the hands of the ( truly - wronged ) consumer through the inclusion of "" private attorney general "" style enforcement mechanism . </ac> <ac> Awarding attorneys ' fees and damages , with the ability to elect either actual or meaningful statutory damages ( similar to the scheme introduced by Congress into the copyright statutes ) , would create serious disincentives for anyone involved in unscrupulous validation practices . </ac> </para-body>","[(1, 48), (49, 64), (65, 102), (103, 117), (118, 167), (168, 202), (203, 248)]","['value', 'value', 'value', 'value', 'policy', 'value', 'value']","[(0, 1)]",['reason'],train,body
105,439,"<para-body> <ac> This is a problem that needs to be corrected . </ac> <ac> In this case , the line of credit is negatively affecting your credit a multiple of times even though it is one line . </ac> </para-body>","[(1, 12), (13, 38)]","['policy', 'fact']","[(0, 1)]",['reason'],train,body
106,442,<para-body> <ac> We live in the Information Age . </ac> <ac> All the information this individual is requesting is readily available with a few keystrokes . </ac> </para-body>,"[(1, 9), (10, 26)]","['fact', 'fact']",[],[],train,body
107,444,<para-body> <ac> First parties should still have the right to sue if they deem it necessary . </ac> <ac> I have no problem with this rule if it is directed to third party debt buyers . </ac> </para-body>,"[(1, 17), (18, 36)]","['policy', 'value']",[],[],train,body
108,448,"<para-body> <ac> I don ' t believe in abusive behavior </ac> <ac> ( i . e . the behavior spelled out in the FDCPA ) , </ac> <ac> but what this individual is saying that she owes a debt that she is not paying . </ac> <ac> Instead , she wants to be the offensive party and paint the collector into a corner using a recording device . </ac> </para-body>","[(1, 10), (11, 26), (27, 45), (46, 68)]","['value', 'fact', 'fact', 'value']",[],[],train,body
109,450,"<para-body> <ac> Can there be a national repository to report abusive phone calls from debt collectors that masked ( fake and "" spoof "" ) their caller ID ? </ac> <ac> I got a brand new phone number a few years ago </ac> <ac> and it obviously previously belonged to someone who is delinquent on their bills </ac> <ac> because I get calls everyday from debt collectors looking for the person who had my phone number before me . </ac> <ac> No matter how many times I tell them they have the wrong number , they don ' t care and they just keep calling and they call from spoofed phone numbers . </ac> <ac> And this is my cell phone , which is against the law for debt collectors to call . </ac> <ac> The same debt collectors call with faked caller IDs . </ac> <ac> Here are just some of the phone numbers these debt collectors use : 808 - 792 - 8186 462643 858 - 568 - 7632 805 - 322 - 4584 706 - 913 - 1192 808 - 348 - 0083 858 - 345 - 4076 858 - 312 - 7724 908 - 505 - 9008 800 - 633 - 2677 252 - 808 - 7969 571 - 522 - 0386 407 - 712 - 3093 213 - 816 - 2972 804 - 721 - 3193 678 - 781 - 4530 427307 858 - 240 - 4079 </ac> </para-body>","[(1, 29), (30, 42), (43, 57), (58, 79), (80, 113), (114, 133), (134, 145), (146, 242)]","['policy', 'testimony', 'value', 'testimony', 'testimony', 'fact', 'testimony', 'testimony']","[(2, 3)]",['reason'],train,body
110,451,"<para-body> <ac> Compliance 2013 demonstrates the type of arrogance that I have been addressing in my prior comments . </ac> <ac> The belief that a default is a default by courts along with the practice of REWARDING Strategic Defaulters while sentencing INVOLUNTARY DEFAULTERS to never ending escalating debt because of the ongoing interest rate charges needs to be addressed . </ac> <ac> I have been researching consumer debt for the past few years </ac> <ac> and Consumer Debt is ON THE RISE GLOBALLY , </ac> <ac> and that is not a good thing . </ac> <ac> Canadian finance expert warns about rising consumer debt . _ _ URL _ _ </ac> <ac> I can replace Canada in the title with England , Australia , South Africa , China , Russia , Ireland and on and on and on . </ac> <ac> The consumer debt escalation is being caused by a ridiculously low 2 % monthly minimum payment , the gateway drug to higher and higher debt , and because consumers who have legitimate life Changing events that cause them to default cannot plead INVOLUNTARY DEFAULT in court . </ac> <ac> We let criminals plead involuntary to many crimes , but not law abiding citizens when it comes to their credit cards and student loans ! </ac> </para-body>","[(1, 19), (20, 60), (61, 73), (74, 84), (85, 94), (95, 110), (111, 139), (140, 188), (189, 215)]","['value', 'policy', 'testimony', 'fact', 'value', 'reference', 'fact', 'fact', 'fact']","[(2, 5)]",['evidence'],train,body
111,457,<para-body> <ac> Consumers are typically notified numerous times before the account is sent to a collection agency . </ac> <ac> It is in the best interests of the credit union to try and resolve the delinquency before it is sent to a collection agency due to the added cost . </ac> </para-body>,"[(1, 18), (19, 50)]","['fact', 'value']",[],[],train,body
112,458,<para-body> <ac> Any form of written communication should count as a notice in writing . </ac> <ac> If a debt collector receives a notice via email of contact they should be required to follow it . </ac> </para-body>,"[(1, 15), (16, 36)]","['policy', 'policy']",[],[],train,body
113,460,"<para-body> <ac> jfearon , I think you have to do it online . </ac> <ac> I was able to clean up a family member ' s credit report online . </ac> </para-body>","[(1, 13), (14, 30)]","['fact', 'testimony']","[(0, 1)]",['reason'],train,body
114,461,"<para-body> <ac> The consumer should be allowed to record all calls for proof of conversation with collectors . </ac> <ac> And once a collector received a notice to not contact a debtor at their workplace it should be required that they do not even for "" location "" </ac> </para-body>","[(1, 18), (19, 48)]","['policy', 'policy']",[],[],train,body
115,462,<para-body> <ac> I am concerned that there is some type of rewards system in place that somehow monetizes those who report when a consumer has a potential bad credit scenario . </ac> <ac> As a conspiracy theory it makes sense since it drives up the cost of a loan . </ac> </para-body>,"[(1, 31), (32, 50)]","['value', 'value']",[],[],train,body
116,466,"<para-body> <ac> I am concerned that state and federal agencies are contributing to identity theft , big time . </ac> <ac> In just the past month I had to make an online payment on what I believe was a federal hobbs act violation by the Los Angeles building and Safety department . </ac> <ac> A day after making the payment or risk losing my home , that same credit card was being used online by thieves . </ac> <ac> Then a few weeks later another agency asked for bank documents , I supplied them via fax , and they were lost ! </ac> <ac> And on top of that , there really didn ' t seem to be a big deal made out of the fact that the documents went missing . </ac> </para-body>","[(1, 19), (20, 52), (53, 77), (78, 102), (103, 132)]","['value', 'testimony', 'testimony', 'testimony', 'value']",[],[],train,body
117,467,"<para-body> <ac> I agree . </ac> <ac> I have been harassed for years ( after getting a new cell phone number ) from debt collectors calling for someone else . </ac> <ac> I presume it is the person who had my phone number before me . </ac> <ac> No matter how many times I tell them that they have the wrong number , they just keep calling over and over . </ac> </para-body>","[(1, 5), (6, 30), (31, 46), (47, 71)]","['value', 'testimony', 'testimony', 'testimony']","[(0, 1)]",['reason'],train,body
118,472,<para-body> <ac> I agree . </ac> <ac> I ' ve heard of this happening </ac> <ac> and it ' s unjust . </ac> </para-body>,"[(1, 5), (6, 14), (15, 22)]","['value', 'testimony', 'value']",[],[],train,body
119,476,<para-body> <ac> Consumers need to be pro - active in everything they do . </ac> <ac> If an individual had the capability to take on a debt then they should have the capability to resolve the debt . </ac> <ac> Every credit union I know goes the extra mile to help their members achieve financial success . </ac> </para-body>,"[(1, 14), (15, 38), (39, 57)]","['policy', 'policy', 'testimony']","[(1, 0)]",['reason'],train,body
120,477,"<para-body> <ac> If a consumer states that he disputes the debt , the debt collector should immediately cease ALL collection activity until the debt is validated . </ac> <ac> And , by validation , it needs to be more than "" the name and social security information matches the creditor ' s records . </ac> <ac> The validation process should include a clear and complete copy of ALL DOCUMENTS that create the alleged obligation . </ac> <ac> If none is available , then the debt should be cancelled . </ac> </para-body>","[(1, 27), (28, 54), (55, 75), (76, 89)]","['policy', 'policy', 'policy', 'policy']",[],[],train,body
121,479,"<para-body> <ac> As a bankruptcy lawyer , I frequently deal with clients or are harassed by debt collectors calling family or neighbors . </ac> <ac> the collectors will claim they are acquiring location information , but this is frequently the case where the consumer has been at the same location for years . </ac> <ac> I hope the rules will narrow the "" location information "" exception </ac> <ac> so that it can only be used where there is really doubt about the consumer ' s location . </ac> </para-body>","[(1, 23), (24, 53), (54, 67), (68, 88)]","['testimony', 'fact', 'value', 'value']","[(2, 3)]",['reason'],train,body
122,480,"<para-body> <ac> Paying a debt in full will always improve a credit score unless the debt is over 7 years old . </ac> <ac> If that is the case , I ' m sure you can make a request to the financial institution to not report the payment . </ac> </para-body>","[(1, 22), (23, 49)]","['fact', 'fact']",[],[],train,body
