essay_id,para_id,para_types,para_text,adu_spans,ac_spans,ai_spans,ac_types,ac_rel_targets,ac_rel_types,ac_rel_pairs
112,623,body,"<para-body> secondly , <ac> reading a novel is more convenient </ac> . <ac> some novels have around 100 pages and readers cannot finish them in just one hour </ac> . <ac> yet these people can continue to read their novels wherever they find free time such as in bus or trains </ac> . for example , <ac> i have started to read a novel since last week </ac> . <ac> i do not have enough time to read a novel in one day , so i usually read it when i am coming home from english class </ac> . in contrast , <ac> i cannot watch a complete movie </ac> because <ac> i can just sit in front of tv for 15 minutes and after that , i have to study </ac> . </para-body>","[(1, 10), (11, 28), (29, 51), (53, 67), (68, 97), (99, 109), (110, 131)]","[(3, 10), (12, 28), (30, 51), (56, 67), (69, 97), (102, 109), (111, 131)]","[(1, 2), (11, 11), (29, 29), (53, 55), (68, 68), (99, 101), (110, 110)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 0, 0, 0, 5]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (5, 6)]"
112,624,body,"<para-body> some people might argue that <ac> people enjoy watching tv </ac> when they know <ac> they can learn many things such as learning a language by watching movies </ac> . this point has some merits on the surface ; however , <ac> movies are not a good idea to learn a language for beginners </ac> since <ac> characters in movies speak very fast and unclear for language learners </ac> . <ac> for these learners it is better to start by reading some novels which are more comprehensible and enjoyable </ac> . </para-body>","[(1, 11), (12, 29), (31, 55), (56, 69), (70, 90)]","[(6, 11), (15, 29), (42, 55), (57, 69), (71, 90)]","[(1, 5), (12, 14), (31, 41), (56, 56), (70, 70)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 2, 2]","['Support', 'Attack', 'Support', 'Support']","[(0, 1), (0, 2), (2, 3), (2, 4)]"
112,625,conclusion,"<para-conclusion> to sum up , <ac> reading fictions is more pleasant </ac> because <ac> these books have more depth , are much easier to use , and more useful for language learners </ac> . </para-conclusion>","[(1, 11), (12, 32)]","[(5, 11), (13, 32)]","[(1, 4), (12, 12)]","['MajorClaim', 'Claim']","[12, 12]",[],[]
113,626,prompt,<prompt> various local languages are becoming extinct </prompt>,[],[],[],[],[],[],[]
113,627,intro,"<para-intro> today , english is commonly used language across the world . its usage is increasing day by day . as a consequence , various local languages are becoming extinct . some people argue that , this is a positive change and would help people to easily communicate . while there are others who disagree with this and are more concerned about dying local languages . in my opinion , i believe <ac> using single language through out the world is a positive change which is helping the world to become a better place to live </ac> . </para-intro>","[(66, 96)]","[(72, 96)]","[(66, 71)]",['MajorClaim'],[12],[],[]
113,628,body,"<para-body> <ac> a world with fewer languages helps us interact with each other in a better way </ac> . <ac> due to globalization , many people are traveling for professional trips </ac> . so , <ac> communicating in single language will reduce the problems of travelers in daily activities like ordering food in a restaurant or in going around places </ac> . furthermore , <ac> students who migrate for better education would not have to go through lot of stress </ac> as <ac> they can easily make new friends and can be part of any discussions which is otherwise not possible in a world with multiple languages ; this in turn makes it easy to adjust in new environment </ac> . <ac> single language also reduces misunderstandings between people </ac> . adding to that , <ac> exchange of knowledge in different sectors of research like electronics , medical , astronomy etc would become easier </ac> . </para-body>","[(0, 17), (18, 31), (33, 60), (62, 80), (81, 119), (120, 129), (131, 154)]","[(1, 17), (19, 31), (35, 60), (64, 80), (82, 119), (121, 129), (135, 154)]","[(0, 0), (18, 18), (33, 34), (62, 63), (81, 81), (120, 120), (131, 134)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 2, 0, 0, 3, 0, 0]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']","[(2, 1), (0, 2), (0, 3), (3, 4), (0, 5), (0, 6)]"
113,629,body,"<para-body> on the other hand , <ac> few people are worried about the dying local languages </ac> . <ac> these languages are the basis for the origination and initial communication between different cultures </ac> . <ac> they represent local culture </ac> . <ac> as the usage of these languages decrease , culture also changes accordingly </ac> . further , <ac> these languages are tightly coupled with history ; all the olden day literature and scripts will be impossible to decipher if these languages are lost </ac> . </para-body>","[(1, 16), (17, 33), (34, 40), (41, 55), (57, 85)]","[(6, 16), (18, 33), (35, 40), (42, 55), (59, 85)]","[(1, 5), (17, 17), (34, 34), (41, 41), (57, 58)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 0, 1, 0, 0]","['Support', 'Support', 'Support', 'Support']","[(0, 1), (1, 2), (0, 3), (0, 4)]"
113,630,conclusion,"<para-conclusion> to conclude , i believe <ac> change is inevitable and that usage of one language across the world is a positive one </ac> . we have to accept these changes for a world to be a better place . <ac> communication in single language would improve the productivity of the world and brings everyone on to the same page </ac> . </para-conclusion>","[(1, 23), (39, 60)]","[(6, 23), (40, 60)]","[(1, 5), (39, 39)]","['MajorClaim', 'Claim']","[12, 12]",[],[]
114,631,prompt,<prompt> do you believe that elderly people used to live in a better world ? </prompt>,[],[],[],[],[],[],[]
114,632,intro,<para-intro> changes are inseparable parts of this world which normally humans are responsible for by manipulating the environment they live in . sometimes these changes adversely affect our lives that make elderly people think they used to live in a better world than the modern world the younger generation are experiencing . i utterly disagree with this opinion due to technological and medical reasons . </para-intro>,[],[],[],[],[],[],[]
114,633,body,"<para-body> <ac> we live in an era that technology is developing in the speed of light , steering the world toward a much more convenient place </ac> . <ac> a clear - cut example that supports this idea is the invention of smart phones </ac> . <ac> the strong navigation system installed on the phones has been rescued lives of many who left alone in remote areas like forests or deserts </ac> . moreover , <ac> some people criticize social networks as tools that have ruined true relationships and friendships by reducing face - to - face communication </ac> . in my opinion though , <ac> social networks such as facebook could foster the ties between friends and family members who are obligatorily far away from each other by keeping them in touch , the thing that was impossible less than 20 years ago </ac> . </para-body>","[(0, 26), (27, 44), (45, 71), (73, 98), (100, 144)]","[(1, 26), (28, 44), (46, 71), (75, 98), (105, 144)]","[(0, 0), (27, 27), (45, 45), (73, 74), (100, 104)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 0, 1, 1, 3]","['Support', 'Support', 'Attack', 'Attack']","[(0, 1), (1, 2), (1, 3), (3, 4)]"
114,634,body,"<para-body> <ac> the phenomenal progress in medical science in the last decade was a huge achievement for human being to make the world a healthier and , thus , a happier place to live in </ac> . today , <ac> even some disabled people with serious vertebral injuries can start doing physical activities like walking again thanks to the continuingly efforts of biomechanical engineers and neurologists </ac> . <ac> the advancement in drug delivery systems is another example that could save lives </ac> . to be specific , <ac> scientists could invent ways to lead drugs directly to the damaged organs of the body , which is a miraculous breakthrough </ac> . in general , <ac> the increase in the average age of human from 50 to around 75 years through last decades is a strong evidence to show how successful human was in medicine </ac> . </para-body>","[(0, 35), (37, 66), (67, 82), (84, 110), (112, 145)]","[(1, 35), (39, 66), (68, 82), (88, 110), (115, 145)]","[(0, 0), (37, 38), (67, 67), (84, 87), (112, 114)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[4, 4, 4, 4, 12]","['Support', 'Support', 'Support', 'Support']","[(4, 0), (4, 1), (4, 2), (4, 3)]"
114,635,conclusion,"<para-conclusion> in conclusion , even though <ac> the people from older generation may claim they had better life </ac> as <ac> there were stronger bonds between family members and friends </ac> , i think they are wrong , since <ac> they judge the contemporary age through a personal prejudice </ac> . in light of the above - mentioned facts , one can easily conclude that <ac> in the current world living standards stand in a much higher level and people are in better conditions socially and physically </ac> . </para-conclusion>","[(1, 18), (19, 30), (31, 49), (51, 87)]","[(6, 18), (20, 30), (39, 49), (65, 87)]","[(1, 5), (19, 19), (31, 38), (51, 64)]","['Claim', 'Premise', 'Premise', 'MajorClaim']","[12, 0, 0, 12]","['Support', 'Attack']","[(0, 1), (0, 2)]"
115,636,prompt,<prompt> higher school students should be taught how to manage money </prompt>,[],[],[],[],[],[],[]
115,637,intro,"<para-intro> there is no doubt that money has become key ingredient in various walks of our life than before . teaching financial management to juvenile students is always a topic of debate . some people feel that teaching money management skill to teenage students will help them realise the importance of money , while few feel that exposing children to money math at this age may turn fatal . in my view , i agree to that fact that <ac> higher school students should be made aware of the money management </ac> . </para-intro>","[(69, 91)]","[(79, 91)]","[(69, 78)]",['MajorClaim'],[12],[],[]
115,638,body,"<para-body> the reason why i think <ac> teenage students need to understand the money management basics </ac> is , primarily <ac> when secondary school students attain the age of undergoing graduation , students ought to stay in hostels or with friends and away from family , during such situations when money management is taught at an early age students will have increased sense of responsibility and confidence </ac> . for example , <ac> while i was a kid my father used to maintain expense log for the month , i was asked to do the same for my keep track of my pocket money expenses , during my future course of life this became a practice and helped me in planning my expenses </ac> . </para-body>","[(1, 16), (17, 67), (69, 123)]","[(6, 16), (20, 67), (72, 123)]","[(1, 5), (17, 19), (69, 71)]","['Claim', 'Premise', 'Premise']","[12, 0, 0]","['Support', 'Support']","[(0, 1), (0, 2)]"
115,639,body,"<para-body> in addition , <ac> if financial management is taught at an early age , students will have better sense of understanding of their family financial background and status , students coming up with unrealistic whims and fancies are minimized </ac> . for example , <ac> buying a gaming console may not be a big deal for a student from an affluent financial background </ac> . however , <ac> for a student coming from middle class buying a gaming console may not be the need of the hour </ac> . hence , <ac> having exposed to money management at a high school level will help them in prioritizing the financial commitments efficiently </ac> . </para-body>","[(1, 40), (42, 64), (66, 88), (90, 112)]","[(4, 40), (45, 64), (68, 88), (92, 112)]","[(1, 3), (42, 44), (66, 67), (90, 91)]","['Premise', 'Premise', 'Premise', 'Claim']","[3, 3, 3, 12]","['Support', 'Support', 'Support']","[(3, 0), (3, 1), (3, 2)]"
115,640,conclusion,"<para-conclusion> in conclusion , i think <ac> students understanding the money management techniques will have more positive effects than negative impact </ac> . however , the teaching should be in a constructive manner and students should not feel that they are being bullied for every expense . </para-conclusion>","[(1, 21)]","[(6, 21)]","[(1, 5)]",['MajorClaim'],[12],[],[]
116,641,prompt,<prompt> smoking should not be permitted in restaurants </prompt>,[],[],[],[],[],[],[]
116,642,intro,"<para-intro> generally speaking , smoking is never been good for human ' s body . there are so many researches done to prove that a cigar contains harmful ingredients for human ' s body . although many smokers claim that they need to smoke in order to work more effectively or to think more creatively , those reasons never proves that smoking has any benefits for human ' s body . in my opinion , <ac> smoking should not be permitted , especially in public places like restaurants </ac> because <ac> it will make the non - smokers breathe uncomfortably </ac> . </para-intro>","[(71, 88), (89, 100)]","[(75, 88), (90, 100)]","[(71, 74), (89, 89)]","['MajorClaim', 'Claim']","[12, 12]",[],[]
116,643,body,"<para-body> first of all , <ac> restaurants are places where people come and pay some money to enjoy their meals </ac> . <ac> smoking in restaurants will absolutely disturb other people in enjoying their meals </ac> . <ac> they will not be able to enjoy their meals while breathing in smoke around them </ac> . </para-body>","[(1, 20), (21, 35), (36, 53)]","[(5, 20), (22, 35), (37, 53)]","[(1, 4), (21, 21), (36, 36)]","['Premise', 'Claim', 'Premise']","[1, 12, 1]","['Support', 'Support']","[(1, 0), (1, 2)]"
116,644,body,"<para-body> secondly , <ac> restaurants are places that people usually come with their families </ac> . this means , <ac> there will be children , grandparents , as well as pregnant women inside the restaurants </ac> . <ac> smoking in restaurants can give a bad example to the children </ac> . <ac> children have a high potential to imitate what adults do </ac> because <ac> they have really high curiosity towards something </ac> . <ac> smoking in restaurants also can affect the elders ' health , especially if they have problems with their hearts and lungs </ac> . <ac> the most dangerous people that would be affected by smoke are the pregnant women </ac> because <ac> they will breathe in the contaminated air and it will disrupt the growth of the babies </ac> . </para-body>","[(1, 14), (16, 35), (36, 49), (50, 62), (63, 72), (73, 96), (97, 113), (114, 132)]","[(3, 14), (19, 35), (37, 49), (51, 62), (64, 72), (74, 96), (98, 113), (115, 132)]","[(1, 2), (16, 18), (36, 36), (50, 50), (63, 63), (73, 73), (97, 97), (114, 114)]","['Premise', 'Premise', 'Claim', 'Premise', 'Premise', 'Claim', 'Premise', 'Premise']","[2, 2, 12, 2, 3, 12, 5, 6]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']","[(2, 0), (2, 1), (2, 3), (3, 4), (5, 6), (6, 7)]"
116,645,body,"<para-body> last but not least , <ac> passive smokers will have a lot of health risks </ac> . <ac> when they are around the active smokers , they will inhale hazardous smoke </ac> . <ac> stroke , heart disorders , hearing loss , and cancers are some diseases that can attack passive smokers </ac> . personally speaking , <ac> it is unfair for passive smokers </ac> because <ac> they do not smoke but they have same health risks as the active one </ac> . </para-body>","[(1, 16), (17, 32), (33, 53), (55, 65), (66, 82)]","[(6, 16), (18, 32), (34, 53), (58, 65), (67, 82)]","[(1, 5), (17, 17), (33, 33), (55, 57), (66, 66)]","['Premise', 'Premise', 'Premise', 'Claim', 'Premise']","[3, 3, 3, 12, 3]","['Support', 'Support', 'Support', 'Support']","[(3, 0), (3, 1), (3, 2), (3, 4)]"
116,646,conclusion,"<para-conclusion> in conclusion , <ac> smoking should not be permitted in restaurants </ac> because <ac> there will be a lot of people get disadvantaged </ac> . state laws that prohibit it should be upheld so the restaurant ' management can make a clear rule in their restaurants because everyone has a right to enjoy their meals . </para-conclusion>","[(1, 12), (13, 24)]","[(4, 12), (14, 24)]","[(1, 3), (13, 13)]","['MajorClaim', 'Claim']","[12, 12]",[],[]
117,647,prompt,<prompt> growing violence in films has affected youngsters in a negative way ? </prompt>,[],[],[],[],[],[],[]
117,648,intro,"<para-intro> it ' s obvious that violent behavior is growing more in films in recent 20 years . this matter has been considered as a way to advertise a film . from my point of view , i believe that <ac> violence in movies has negative effects on youngsters mostly on their behaviors , emotions & study </ac> . </para-intro>","[(31, 57)]","[(40, 57)]","[(31, 39)]",['MajorClaim'],[12],[],[]
117,649,body,"<para-body> in the first place , <ac> children behaviors are the most concerning matter which parents are always trying to do their best </ac> . <ac> nowadays children are more involved in tv programs </ac> . <ac> imagine an actor who is a child ’ s favorite is doing violent roles </ac> . <ac> in this case , the child would imitate the actor ' s behaviors in order to look like to him </ac> . thus , <ac> unexpectedly the violent behavior has effected on child ’ s behaviors </ac> . </para-body>","[(1, 23), (24, 34), (35, 51), (52, 74), (76, 90)]","[(6, 23), (25, 34), (36, 51), (53, 74), (78, 90)]","[(1, 5), (24, 24), (35, 35), (52, 52), (76, 77)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[4, 4, 4, 4, 12]","['Support', 'Support', 'Support', 'Support']","[(4, 0), (4, 1), (4, 2), (4, 3)]"
117,650,body,"<para-body> meanwhile , <ac> human beings are very sensitive , especially of youngsters </ac> . for instance , <ac> dying is always a disappointing happening </ac> . furthermore , <ac> killing is worse </ac> . therefore , <ac> if these scenes are in tv , they would probably have their negative effects on the viewer who could be a child </ac> . </para-body>","[(1, 13), (15, 25), (27, 33), (35, 60)]","[(3, 13), (18, 25), (29, 33), (37, 60)]","[(1, 2), (15, 17), (27, 28), (35, 36)]","['Premise', 'Premise', 'Premise', 'Claim']","[3, 3, 3, 12]","['Support', 'Support', 'Support']","[(3, 0), (3, 1), (3, 2)]"
117,651,body,"<para-body> finally , beside all above mentioned items , <ac> the study of youngsters shall always been controlled </ac> . for example , <ac> a child watches a frightening movie </ac> . on the other hand , <ac> he has to study for the exam </ac> . in this condition , because <ac> he is thinking about the movie or whatever has happened in it </ac> , <ac> it is obvious that he wouldn ’ t be able to concentrate on his study perfectly </ac> . hence , <ac> the study of a youngster would affected terribly </ac> . </para-body>","[(1, 18), (20, 30), (32, 45), (47, 65), (66, 84), (86, 97)]","[(9, 18), (23, 30), (37, 45), (52, 65), (67, 84), (88, 97)]","[(1, 8), (20, 22), (32, 36), (47, 51), (66, 66), (86, 87)]","['Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[5, 5, 5, 4, 5, 12]","['Support', 'Support', 'Support', 'Support', 'Support']","[(5, 0), (5, 1), (5, 2), (4, 3), (5, 4)]"
117,652,conclusion,"<para-conclusion> in conclusion , i certainly can say that <ac> growing of violence in films have definitely negative effects on youngsters mostly on their study , emotions and behaviors </ac> . therefore , i think this matter should be controlled by parents or somehow by directors . </para-conclusion>","[(1, 29)]","[(9, 29)]","[(1, 8)]",['MajorClaim'],[12],[],[]
118,653,prompt,<prompt> gossip - based information </prompt>,[],[],[],[],[],[],[]
118,654,intro,"<para-intro> nowadays information plays an important role in our world . it has become a product , which can be sold , bought , or stolen . some people say : "" <ac> information is power </ac> "". that ' s why it is so important to be well - informed . i consider the statement above to be right for several reasons . </para-intro>","[(27, 36)]","[(32, 36)]","[(27, 31)]",['MajorClaim'],[12],[],[]
118,655,body,"<para-body> the first reason is that <ac> by using different sources of information we can guarantee its reliability </ac> . <ac> some people may disinform you on purpose , that ' s why it is rather unwise to make conclusions before you are confident of the information </ac> . for example , <ac> russian news announced that the war between osetia and georgia had been initiated by georgia , however , european news announced that it was initiated by russia </ac> . <ac> after a while the situation became clear , but before that a lot of people had already condemned the actions of russia </ac> . </para-body>","[(1, 18), (19, 47), (49, 80), (81, 105)]","[(6, 18), (20, 47), (52, 80), (82, 105)]","[(1, 5), (19, 19), (49, 51), (81, 81)]","['Claim', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 0]","['Support', 'Support', 'Support']","[(0, 1), (0, 2), (0, 3)]"
118,656,body,"<para-body> secondly , <ac> it is very important to know facts about some events or problem , not only estimations </ac> , because <ac> it can help you to make your own conclusion or estimate </ac> . sometimes it can be really difficult to find out the facts , especially in the internet , that ' s why <ac> you have to look through different sources before you manage to find some reliable facts </ac> . <ac> it is possible to make a wrong decision </ac> because <ac> you have just used someone ' s personal opinion as a source of information , but it was actually wrong </ac> . for example , <ac> several years ago in moscow salt became two times more expensive only in one week , because people thought that soon there would be no salt in the shops </ac> . <ac> the gossip - based information dramatically influenced the prices and only after official announcement the "" salt - panic "" was over </ac> . </para-body>","[(1, 20), (21, 35), (37, 74), (75, 85), (86, 108), (110, 143), (144, 168)]","[(3, 20), (23, 35), (58, 74), (76, 85), (87, 108), (113, 143), (145, 168)]","[(1, 2), (21, 22), (37, 57), (75, 75), (86, 86), (110, 112), (144, 144)]","['Premise', 'Premise', 'Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[2, 0, 12, 2, 2, 2, 2]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']","[(2, 0), (0, 1), (2, 3), (2, 4), (2, 5), (2, 6)]"
118,657,conclusion,"<para-conclusion> to conclude , i want to say that <ac> it is very important to be confident of the information , which you use , especially when your conclusion or decision may have a great influence </ac> . </para-conclusion>","[(1, 36)]","[(9, 36)]","[(1, 8)]",['MajorClaim'],[12],[],[]
119,658,prompt,<prompt> old buildings should be preserved </prompt>,[],[],[],[],[],[],[]
119,659,intro,"<para-intro> the preservation of old buildings always is a large question for governments because conflict between the issues of housing for citizens and the protection of our culture . in my opinion , <ac> all of the old building which contribute to our sense of culture should be conserved </ac> . </para-intro>","[(29, 49)]","[(33, 49)]","[(29, 32)]",['MajorClaim'],[12],[],[]
119,660,body,"<para-body> there are different reasons which persuade that people should not restore old buildings . <ac> as a result of the rapid urbanization process , in which rural people must go to urban centers to look for job opportunities , the question of the preservation of old buildings has become more pressing </ac> . because of that need , <ac> governments can construct more accommodation instead of preserving old buildings </ac> . besides that , <ac> the preservation is very expensive because all components of old buildings have historical values </ac> . </para-body>","[(14, 52), (54, 70), (72, 90)]","[(15, 52), (59, 70), (75, 90)]","[(14, 14), (54, 58), (72, 74)]","['Premise', 'Claim', 'Premise']","[1, 12, 1]","['Support', 'Support']","[(1, 0), (1, 2)]"
119,661,body,"<para-body> <ac> old buildings are an essential part of history </ac> . <ac> tourist often decide to discover the culture of a country when they visit through those old buildings </ac> . therefore , <ac> managers of cities can earn more money from the attraction provided by old buildings and that amount can be spent on their conservation </ac> . furthermore , <ac> the preservation of old buildings is also a ways to conserve our culture and everyone can learn much from them </ac> . <ac> old buildings should be used as the culture museums and provide accommodation with more convenient for people who live there </ac> . . <ac> many cities have development strategies as a city contains both unique and modern beauty , and that preservation help to finish half of work </ac> . </para-body>","[(0, 10), (11, 30), (32, 58), (60, 83), (84, 106), (108, 134)]","[(1, 10), (12, 30), (34, 58), (62, 83), (85, 106), (109, 134)]","[(0, 0), (11, 11), (32, 33), (60, 61), (84, 84), (108, 108)]","['Premise', 'Premise', 'Claim', 'Premise', 'Claim', 'Claim']","[2, 2, 12, 4, 12, 12]","['Support', 'Support', 'Support']","[(2, 0), (2, 1), (4, 3)]"
119,662,conclusion,"<para-conclusion> overall , both of those view have strong arguments : the need for housing or the expense of restoration contrast with our desire to conserve culture and attract tourism . so i think <ac> we should restore those building </ac> because <ac> old buildings process the most outstanding feature of areas which contain them </ac> . </para-conclusion>","[(31, 40), (41, 55)]","[(34, 40), (42, 55)]","[(31, 33), (41, 41)]","['MajorClaim', 'Claim']","[12, 12]",[],[]
120,663,prompt,<prompt> popularity of mobile phones to young people </prompt>,[],[],[],[],[],[],[]
120,664,intro,"<para-intro> nowadays , many young people consider mobile phone as the most important thing in their lives as it keeps them constantly organized and it provides much convenience for them to reach out their families and friends . despite all these positive aspects , i think that <ac> the popularity of mobile phones to the young generation is a bad development </ac> . </para-intro>","[(38, 61)]","[(47, 61)]","[(38, 46)]",['MajorClaim'],[12],[],[]
120,665,body,"<para-body> first of all , <ac> many young owners of cellular phones are struggling at school because they are distracted most of the time with their phones </ac> . <ac> games and applications installed in phones have occupied much of their time , leaving them lesser time for their studies and other school activities </ac> . similarly , <ac> internet capable phones help influence the young ones to become more interested in chatting and social sites rather than doing school works </ac> . <ac> in my college days , i was once addicted to a certain game on my cellular phone </ac> . <ac> i have spent most of my time trying to reach a higher level to show - off to my friends </ac> . <ac> that goal has led me to my lost in interest on doing my homework and i ended up failing one subject in that semester </ac> . </para-body>","[(1, 27), (28, 54), (56, 81), (82, 101), (102, 124), (125, 151)]","[(5, 27), (29, 54), (58, 81), (83, 101), (103, 124), (126, 151)]","[(1, 4), (28, 28), (56, 57), (82, 82), (102, 102), (125, 125)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 2, 2, 2]","['Support', 'Support', 'Support', 'Support', 'Support']","[(0, 1), (0, 2), (2, 3), (2, 4), (2, 5)]"
120,666,body,"<para-body> secondly , <ac> juveniles who possess mobile phones have great tendencies to become materialistic </ac> . <ac> they would not only purchase a phone because of its functionality but also for its brand </ac> . relatively , <ac> these do not come at a significant and inexpensive cost </ac> . furthermore , <ac> most of these juveniles are students </ac> so <ac> they would need their parents to support them financially for what they want </ac> . <ac> an illustration of this unfortunate trend can be seen almost everywhere these days , wherein most teens at an early age own phones which are worth twice the salary of their parents </ac> . </para-body>","[(1, 15), (16, 34), (36, 49), (51, 60), (61, 76), (77, 111)]","[(3, 15), (17, 34), (38, 49), (53, 60), (62, 76), (78, 111)]","[(1, 2), (16, 16), (36, 37), (51, 52), (61, 61), (77, 77)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 4, 0, 0]","['Support', 'Support', 'Support', 'Support', 'Support']","[(0, 1), (0, 2), (4, 3), (0, 4), (0, 5)]"
120,667,conclusion,"<para-conclusion> this clearly shows that <ac> the negative impacts brought about by mobile phones are harmful to a person ’ s education and character </ac> . therefore , i highly discourage the young ones to be overly dependent on mobile phones . </para-conclusion>","[(1, 24)]","[(5, 24)]","[(1, 4)]",['MajorClaim'],[12],[],[]
121,668,prompt,<prompt> leisure activities - spend your free time outdoors or indoors . </prompt>,[],[],[],[],[],[],[]
121,669,intro,"<para-intro> people often relax themselves by joining leisure activities . some people prefer to spend their free time indoors . but from my experience , <ac> i myself prefer to spend my leisure time outdoors </ac> because i strongly feel that <ac> it is good for health and keep my body fit </ac> . also , <ac> outdoor activities enable me to socialize with other people and enjoy natural beauty </ac> . </para-intro>","[(20, 35), (36, 52), (54, 70)]","[(25, 35), (41, 52), (56, 70)]","[(20, 24), (36, 40), (54, 55)]","['MajorClaim', 'Claim', 'Claim']","[12, 12, 12]",[],[]
121,670,body,"<para-body> there are strong advantages to spend leisure time outdoors . one benefit is that <ac> doing outdoor activities such as soccer and baseball is good for one ' s health </ac> . for instance , <ac> last year , i spent my summer time playing soccer and baseball </ac> . <ac> playing baseball provided my upper body for hitting and throwing </ac> . <ac> soccer , on the other hand , developed my lower body for kicking and endurance for playing full 90 - minute - games </ac> . i belive that <ac> practicing these sports helped me greatly </ac> . something else that is good is that <ac> playing these sports is to keep my body fit , make me ultimately refreshed </ac> . <ac> after that summer , my body is stronger and endurance is better </ac> . </para-body>","[(11, 31), (33, 49), (50, 62), (63, 88), (90, 100), (102, 124), (125, 139)]","[(15, 31), (36, 49), (51, 62), (64, 88), (93, 100), (109, 124), (126, 139)]","[(11, 14), (33, 35), (50, 50), (63, 63), (90, 92), (102, 108), (125, 125)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 0, 0, 0, 0]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)]"
121,671,body,"<para-body> <ac> outdoor activities not only improves my health but also gives me chances to communicate with more people </ac> . <ac> when i was ten years old , i was a shy girl </ac> . <ac> my mother took me to the national camp </ac> . <ac> at first , i just ate and played alone </ac> . <ac> but on the third day , while i was swimming , a friendly girl came and greeted me , we became friend later and she taught me how to swim effectively </ac> . <ac> on the next day , we played together and she introduced me to her friends </ac> . <ac> thanks to her and outdoor activities such as going skiing , climbing the mountain , i had a lot of friends since the national camp </ac> . <ac> if , for example , i hadn ' t participate in that camping , i wouldn ' t have had many friends like today </ac> . </para-body>","[(0, 19), (20, 34), (35, 45), (46, 57), (58, 91), (92, 109), (110, 137), (138, 164)]","[(1, 19), (21, 34), (36, 45), (47, 57), (59, 91), (93, 109), (111, 137), (139, 164)]","[(0, 0), (20, 20), (35, 35), (46, 46), (58, 58), (92, 92), (110, 110), (138, 138)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 0, 0, 0, 0, 0]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support', 'Support']","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)]"
121,672,body,"<para-body> moreover , <ac> you can also enjoy the beautiful nature when doing some outdoor activities like going hiking , sunbathing , going biking </ac> . <ac> if you spend your spare time at home or something like that , you can ' t enjoy beautiful nature </ac> . <ac> spending time outdoors , people can breathe fresh air , feel the warm sun on their face and enjoy the complete peace that only nature brings </ac> . </para-body>","[(1, 24), (25, 47), (48, 76)]","[(3, 24), (26, 47), (49, 76)]","[(1, 2), (25, 25), (48, 48)]","['Claim', 'Premise', 'Claim']","[12, 0, 12]",['Support'],"[(0, 1)]"
121,673,conclusion,"<para-conclusion> admittedly , <ac> indoor activities are fun </ac> . <ac> there ' s no doubt that indoor activities like reading a book , watching tv or listening to music can bring us lots of joy </ac> . although <ac> i can also have fun in indoor activities </ac> , <ac> this advantage cannot outweigh the attractions coming from outdoor activities </ac> . after all , people are people and we have our own propensity . leisure activities are one of them and <ac> i myself choose outdoor activities to spend my leisure time </ac> . </para-conclusion>","[(1, 8), (9, 36), (38, 48), (49, 61), (76, 94)]","[(3, 8), (10, 36), (39, 48), (50, 61), (83, 94)]","[(1, 2), (9, 9), (38, 38), (49, 49), (76, 82)]","['Claim', 'Premise', 'Claim', 'Premise', 'MajorClaim']","[12, 0, 12, 2, 12]","['Support', 'Attack']","[(0, 1), (2, 3)]"
122,674,prompt,<prompt> cheap air travel should be encouraged ? </prompt>,[],[],[],[],[],[],[]
122,675,intro,"<para-intro> in recent years , many airlines offer to their customers more and more number of cheap flights . people have various different views about cheap air travel . although there are good arguments in favour of this trend should be encouraged , i personally think that <ac> cheap flight can make many serious problem </ac> . </para-intro>","[(29, 55)]","[(47, 55)]","[(29, 46)]",['MajorClaim'],[12],[],[]
